player_id,player
942,Dennis Hamilton
943,Dennis Holman
944,Dewitt Menyard
945,Dexter Westbrook
946,Dick Lee
947,Donnie Freeman
948,Doug Moe
949,Earl Monroe
950,Ed Manning
951,Elton McGriff
952,Errol Palmer
953,Ervin Inniger
954,Gary Gray
955,Gary Keller
956,Gary Turner
957,George Carter
958,George Lehmann
959,George Patterson
960,George Peeples
961,George Sutor
962,Gerald Govan
963,Goose Ligon
964,Grant Simmons
965,Guy Manning
966,Hal Hale
967,Hank Whitney
968,Harry Dinnel
969,Herschell Turner
970,Howard Bayne
971,Ira Harge
972,Jay Miller
973,Jeffrey Congdon
974,Jerry Pettway
975,Jim Burns
976,Jim Caldwell
977,Jim Davis
978,Jim Fox
979,Jim Hadnot
980,Jim Jarvis
981,Jim Reid
982,Jimmy Dawson
983,Jimmy Jones
984,Jimmy Rayl
985,Jimmy Walker
986,Joe Hamood
987,John Beasley
988,John Comeaux
989,John Dickson
990,John Morrison
991,John Postley
992,John Wetzel
993,Johnny Jones
994,Johnny Mathis
995,Julian Hammond
996,Ken Wilburn
997,Kendall Rhine
998,Larry Brown
999,Larry Bunce
1000,Larry Conley
1001,Larry Moore
1002,Leary Lentz
1003,Leland Mitchell
1004,Leroy Wright
1005,Lester Selvage
1006,Levern Tart
1007,Lonnie Wright
1008,Louie Dampier
1009,Mal Graham
1010,Marlbert Pradd
1011,Matthew Aitch
1012,Maurice McHartley
1013,Mel Daniels
1014,Mike Dabich
1015,Nick Jones
1016,Ollie Darden
1017,Orbie Bowling
1018,Pat Riley
1019,Paul Long
1020,Paul Scranton
1021,Phil Jackson
1022,Plummer Lott
1023,R.B. Lynam
1024,Randolph Mahaffey
1025,Randy Stoll
1026,Red Robbins
1027,Red Stroud
1028,Rich Peek
1029,Richard Clark
1030,Richard Parks
1031,Richie Moore
1032,Rick Weitzman
1033,Riney Lochmann
1034,Roger Brown
1035,Roger Schurig
1036,Roland West
1037,Ron Filipek
1038,Ron Perry
1039,Ron Widby
1040,Ronald Franz
1041,Ronald Kozlicki
1042,Rubin Russell
1043,Sam Smith
1044,Skip Thoren
1045,Smokey Gaines
1046,Sonny Dove
1047,Stan McKenzie
1048,Stephen Chubin
1049,Stephen Vacendak
1050,Steve Jones
1051,Steven Kramer
1052,Stew Johnson
1053,Terry Kunze
1054,Tom Kerwin
1055,Tom Workman
1056,Tommie Bowens
1057,Tommy Woods
1058,Tony Jackson
1059,Trooper Washington
1060,Tyrone Britt
1061,Walt Frazier
1062,Walter Simon
1063,Warren Davis
1064,Wesley Bialosuknia
1065,Willie Murrell
1066,Willie Porter
1067,Willis Thomas
1068,Al Hairston
1069,Art Harris
1070,Barry Orms
1071,Bill Gaines
1072,Bill Hewitt
1073,Bill Hosket
1074,Bob Allen
1075,Bob Kauffman
1076,Bob Quick
1077,Bob Warren
1078,Bobby Hooper
1079,Brian Brunkhorst
1080,Butch Joyner
1081,Charles Parks
1082,Charlie Paulk
1083,Cliff Williams
1084,Craig Raymond
1085,Dale Schlueter
1086,Dallas Thornton
1087,Daniel Sparks
1088,Dave Newmark
1089,Dennis Grey
1090,Dick Cunningham
1091,Don Carlos
1092,Don Chaney
1093,Don Dee
1094,Don May
1095,Donald Sidle
1096,Doug Sims
1097,Dwight Waller
1098,Ed Biedenbach
1099,Ed Johnson
1100,Edgar Lacey
1101,Elvin Hayes
1102,Elvin Ivory
1103,Frank Card
1104,Fred Foster
1105,Gary Gregor
1106,Gene Moore
1107,George Stone
1108,Glen Combs
1109,Glynn Saulters
1110,Greg Smith
1111,Harry Barnes
1112,Henry Logan
1113,Jack Thompson
1114,Jasper Wilson
1115,Jay Carty
1116,Jim Eakins
1117,Jim Kissane
1118,Joe Kennedy
1119,John Clawson
1120,John Smith
1121,John Trapp
1122,Keith Swagerty
1123,Larry Miller
1124,Lee Davis
1125,Loy Petersen
1126,Manny Leaks
1127,Mervin Jackson
1128,Mike Butler
1129,Mike Lewis
1130,Mike Riordan
1131,Otto Moore
1132,Pat Frink
1133,Penny Early
1134,Phillip Wagner
1135,Reggie Lacefield
1136,Rich Dumas
1137,Rich Johnson
1138,Rich Niemann
1139,Rick Adelman
1140,Rod Knowles
1141,Ron Boone
1142,Ron Williams
1143,Russell Critchfield
1144,Sam Williams
1145,Shaler Halimon
1146,Skip Harlicka
1147,Spider Bennett
1148,Stu Lantz
1149,Tom Boerwinkle
1150,Tom Kondla
1151,Tony Koski
1152,Walter Piatkowski
1153,Warren Jabali
1154,Wayne Chapman
1155,Wes Unseld
1156,Willie Iverson
1157,Willie Rogers
1158,Willie Worsley
1159,Zaid Abdul-Aziz
1160,Al Cueto
1161,Bernie Williams
1162,Bill Bunting
1163,Bill Keller
1164,Billy Evans
1165,Bingo Smith
1166,Bob Arnzen
1167,Bob Christian
1168,Bob Dandridge
1169,Bob Greacen
1170,Bob Portman
1171,Bob Woollard
1172,Bobby Washington
1173,Brian Heaney
1174,Bud Ogden
1175,Butch Beard
1176,Butch Booker
1177,Calvin Fowler
1178,Dave Scholz
1179,Dick Garrett
1180,Dick Grubar
1181,Erv Staggs
1182,Fatty Taylor
1183,Floyd Theard
1184,Fred Carter
1185,Gene Littles
1186,Gene Williams
1187,George Reynolds
1188,George Thompson
1189,George Tinsley
1190,Grady O'Malley
1191,Greg Wittman
1192,Hal Jeter
1193,Herm Gilliam
1194,Jack Gillespie
1195,Jerry McKee
1196,Jerry Rook
1197,Jo Jo White
1198,John Arthurs
1199,John Brisker
1200,John Warren
1201,Johnny Baum
1202,Julius Keye
1203,Justus Thigpen
1204,Kareem Abdul-Jabbar
1205,Lamar Green
1206,Larry Bergh
1207,Larry Cannon
1208,Lee Winfield
1209,Lonnie Lynn
1210,Lucius Allen
1211,Luther Green
1212,Luther Rackley
1213,Lynn Shackelford
1214,Mack Calvin
1215,Mike Barrett
1216,Mike Davis
1217,Mike Lynn
1218,Neal Walk
1219,Norm Van Lier
1220,Rich Jones
1221,Rick Roberson
1222,Ronald Taylor
1223,Samuel Little
1224,Simmie Hill
1225,Skeeter Swift
1226,Spencer Haywood
1227,Steve Kuberski
1228,Steve Mix
1229,Tom Hagan
1230,Wally Anderzunas
1231,Walter Byrd
1232,Wil Jones
1233,Wilbur Kirkland
1234,Willie McCarter
1235,Willie Scott
1236,Willie Wise
1237,A.W. Holt
1238,Al Henry
1239,Al Williams
1240,Bill Stricker
1241,Bill Zopf
1242,Billy DeAngelis
1243,Billy Paultz
1244,Bob Lanier
1245,Bob Riley
1246,Bobby Croft
1247,Calvin Murphy
1248,Carl Fuller
1249,Charles Hentz
1250,Charlie Scott
1251,Chuck Lloyd
1252,Chuck Williams
1253,Clarence Brookins
1254,Claude English
1255,Coby Dietrick
1256,Cornell Warner
1257,Curtis Perry
1258,Dan Hester
1259,Dan Issel
1260,Dave Cowens
1261,Dave Sorenson
1262,Dennis Awtrey
1263,Dennis Stewart
1264,Dick Nemelka
1265,Don Adams
1266,Earle Higgins
1267,Earnie Killum
1268,Eddie Mast
1269,Fran O'Hanlon
1270,Fred Taylor
1271,Gar Heard
1272,Garfield Smith
1273,Gary Freeman
1274,Gary Suiter
1275,Gary Zeller
1276,Geoff Petrie
1277,George Irvine
1278,George Johnson
1279,Greg Fillmore
1280,Greg Howard
1281,Greg Hyder
1282,Harry Laurie
1283,Harvey Marlatt
1284,Herb White
1285,Howie Wright
1286,Jake Ford
1287,Jeff Webb
1288,Jim Ard
1289,Jim Hayes
1290,Jim McMillian
1291,Jim Wilson
1292,Jimmy Collins
1293,Joe Cooke
1294,Joe DePre
1295,Joe Hamilton
1296,Joe Thomas
1297,John Hummer
1298,John Johnson
1299,John Vallely
1300,Ken Spain
1301,Larry Mikan
1302,Levi Fontaine
1303,Lonnie Kluttz
1304,Mack Daughtry
1305,Marv Winkler
1306,Mike Maloy
1307,Mike Pratt
1308,Mike Price
1309,Mike Silliman
1310,Milt Williams
1311,Moe Barr
1312,Oliver Taylor
1313,Paul Ruffner
1314,Pete Cross
1315,Pete Maravich
1316,Ralph Ogden
1317,Ralph Simpson
1318,Rex Morgan
1319,Rick Mount
1320,Roderick McDonald
1321,Ron Knight
1322,Ron Nelson
1323,Rudy Tomjanovich
1324,Sam Lacey
1325,Samuel Robinson
1326,Samuel Watts
1327,Stephen Wilson
1328,Terry Driscoll
1329,Tiny Archibald
1330,Tom Black
1331,Vann Williford
1332,Walker Banks
1333,Walt Gilmore
1334,Wendell Ladner
1335,Willie Davis
1336,Willie Williams
1337,Al Smith
1338,Artis Gilmore
1339,Austin Carr
1340,Barry Nelson
1341,Barry Yates
1342,Bobby Fields
1343,Charlie Davis
1344,Charlie Lowery
1345,Charlie Yelverton
1346,Clarence Glover
1347,Cliff Meely
1348,Clifford Ray
1349,Collis Jones
1350,Curtis Rowe
1351,Dana Pagett
